id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
6zqfI0E86dffJWBXsNWyKw,Ave Maria,Martha Stewart Living Music: Classical Favorites For The Holidays,"[""Charles Gounod"", ""Charlotte Church"", ""Sian Edwards"", ""London Symphony Orchestra""]",2005,Classical,4,Calm,spanish,2.753638184340965
4c7fwYlFNOZSY75qWWNsaG,Ave Maria - 2016 Version,Voices Of Angels,"[""Celtic Woman""]",2016,Folk,19,Calm,spanish,3.400414280317932
5PQHOBtfgWku9knjIK4h48,"Ave Maria, Op. 52 No. 6 - Irwin Kostal Re-Record 1982",Walt Disney Records The Legacy Collection: Fantasia,"[""Irwin Kostal"", ""Disney Studio Orchestra"", ""Disney Studio Chorus""]",2015,Classical,21,Calm,english,3.1814025183864936
4IyK8htJJzbRjPihpMouWu,"Ellens Gesang III (Ave Maria!), Op. 52 No. 6, D. 839 ""Hymne an die Jungfrau” [Version for Choir]","Catholic Classics, Vol. 4: Catholic Latin Classics","[""Franz Schubert"", ""The Cathedral Singers"", ""Richard Proulx""]",2000,Classical,5,Calm,italian,2.547354412322378
0T2pXsu2AFuksZGkiMi2Ga,Averroes' Search,Gnosis,"[""Spectral Lore""]",2016,Rock,19,Calm,english,0.9213188887373396
13iZEXCKTO9szoJvhHRo2O,Avincenna,Ardor [Remastered Reissue],"[""Love Spirals Downwards""]",2007,Pop,17,Calm,english,2.318825043854221
4ku34r4lEQNCl6b8jVZf0b,Awake,Offertorium,"[""Talsur""]",2017,Rock,0,Calm,english,3.511563868537381
2biFuU3fuOXKDkhrmYmUkT,Awake My Soul (feat. Brock Human),Looking for a Savior,"[""United Pursuit"", ""Brock Human""]",2016,Folk,21,Calm,english,2.667462629186666
6J2PmyGDb4hfwYuTBRkhvu,Away,Times of Grace,"[""Neurosis""]",1999,Rock,13,Calm,english,2.6893355442949254
04S8cpBmEkkBf8nDpbM0RD,Away In A Manger,Celtic Christmas,"[""Celtic Christmas""]",2006,Folk,12,Calm,english,1.0788006661004272
0qGBbyCyLkNIkU3sj0zAGV,Away in a Manger,Carols From Cambridge: The Very Best Sacred Christmas Carols,"[""Choir of King's College, Cambridge"", ""Sir David Willcocks""]",2013,Classical,48,Calm,english,2.2283887423304862
0qQRrUZg7JC2prEOhiQlNO,Away In A Manger,Christmas Celebration,"[""Kirkpatrick"", ""Winchester Cathedral Choir"", ""David Hill""]",1990,Classical,5,Calm,english,3.5928619312093946
5oEGrfx9n2HT1HHIrfWrQr,Away In A Manger,A Christmas Celebration,"[""Celtic Woman""]",2006,Folk,51,Calm,english,2.6963668397255014
4MKfvY4CaL1TED6io95cdd,Away from the Roll of the Sea,Celtic Fairy Lullaby,"[""2002""]",2016,Folk,35,Calm,english,2.295215354394017
0AOeQkU3Dl6ayAeO0UpfGf,Away in a Manger,Christmas Classics,"[""Traditional"", ""Julie Andrews"", ""Ian Fraser""]",2016,Pop,23,Calm,english,2.8192191581904527
1rN9sFfbRH6g1wp859a649,Away in a Manger,Christmas With Julie Andrews,"[""Julie Andrews""]",1982,Classical,33,Calm,english,2.8102950791998653
48bq2aSfjuBkWL8N7USXGh,Away in a Manger,Carols From Trinity,"[""William J. Kirkpatrick"", ""The Choir Of Trinity College, Cambridge"", ""Richard Marlow""]",1995,Classical,12,Calm,english,3.5271246438500703
6uo0a4VQsSPUXsqcjAiSwb,Away in a Manger,Mannheim Steamroller Christmas Symphony II,"[""Mannheim Steamroller""]",2013,Pop,45,Calm,english,1.5059489605489134
3eKrularJqqwkzgxURzRP9,Awkward Silence,halovox,"[""halovox""]",2004,Electronic,0,Calm,english,2.250102678035456
5vmfcTP2PrxSqwWPa9hdU8,Axioma,Axioma Ethica Odini,"[""Enslaved""]",2010,Rock,7,Calm,english,4.771484061721728
4NT0jYcNiySj3GWCSArDeC,Azure,Bennett Sings Ellington / Hot And Cool,"[""Tony Bennett""]",1999,Jazz,4,Calm,english,1.7569057414135751
5iq0Tela3gm73ZW72XZ5dm,Baba O'Riley - ConfidentialMX Remix,"Stranger Things: Soundtrack from the Netflix Original Series, Season 3","[""The Who""]",2019,Rock,50,Calm,english,1.7767231361807574
19iH884IZnJmET2fsyD06T,Babe - Sweetheart 70's Album Version,Romancing The 70's: Instrumental Hits Of The 1970s,"[""Sam Levine"", ""Jack Jezzro""]",2012,Jazz,18,Calm,english,1.928937583566509
4mtvkw5iPoMjvOW6Bif3wH,Babes in Toyland: March of the Toys,"Herbert, V.: Babes in Toyland / The Red Mill","[""Victor Herbert"", ""Razumovsky Symphony Orchestra"", ""Keith Brion""]",1999,Classical,0,Calm,english,1.4977850979926637
4xWqovNRibwFsMl7Osyxhi,Babies On The Sun,It's A Wonderful Life,"[""Sparklehorse""]",2001,Rock,23,Calm,english,1.9252440473440524
1FZDEJ6flo3wRFwxiEhurL,Baby Plays Around,For The Stars,"[""Anne Sofie von Otter"", ""Elvis Costello"", ""Bengt Forsberg"", ""Paul Whitsun-Jones"", ""Mats Schubert"", ""Magnus Persson""]",2001,Classical,22,Calm,english,2.6863459487974697
3OAHl0CeaycHR2cE5gGylv,Baby Please Don't Go,"The Gold Star Sessions, Vol. 1","[""Lightnin' Hopkins""]",1990,Blues,30,Calm,english,3.143713525665027
5l6fBI5XSDgaW5yynOb2yM,Baby Please Don't Go,Bad Mouthin',"[""Tony Joe White""]",2018,Blues,0,Calm,english,1.7340228050585078
4ydU4l3AgBznkxXpM3nXNb,Baby's First Morning/What Is a Baby/La La Lu,Walt Disney Records The Legacy Collection: Lady and the Tramp,"[""Oliver Wallace"", ""Peggy Lee""]",2015,Jazz,0,Calm,english,2.2466553248178367
4gkyJAmyBDjC0DBBihvUEn,"Baby's First Morning/What Is a Baby/La La Lu - From ""Lady and the Tramp""/Soundtrack Version",Lady and the Tramp,"[""Oliver Wallace"", ""Peggy Lee""]",1997,Jazz,32,Calm,english,2.451426931755025
